السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,4,إلكتروني,1,1,حائل,بقعاء,عقارات,ارض زراعية,202000.0
2025,4,إلكتروني,1,1,الرياض,الرين,عقارات,غير محدد,54500.0
2025,4,إلكتروني,1,2,الجوف,القريات,عقارات,ارض زراعية,426500.0
2025,4,إلكتروني,3,3,جيزان,جيزان,عقارات,غير محدد,1111500.0
2025,4,إلكتروني,1,2,حائل,موقق,عقارات,ارض زراعية,280500.0
2025,4,إلكتروني,1,1,القصيم,الاسياح,عقارات,سكني,1250000.0
2025,4,إلكتروني,1,1,القصيم,البدائع,عقارات,غير محدد,590000.0
2025,4,إلكتروني,1,1,حائل,بقعاء,عقارات,سكني,33000.0
2025,4,إلكتروني,1,1,حائل,بقعاء,عقارات,أخرى,325000.0
2025,4,إلكتروني,1,1,القصيم,البدائع,عقارات,ارض زراعية,5500000.0
2025,4,إلكتروني,1,1,المنطقة الشرقية,الجبيل,عقارات,سكني,1160000.0
2025,4,إلكتروني,1,1,حائل,الاجفر,عقارات,أخرى,194000.0
2025,4,إلكتروني,2,3,تبوك,تبوك,عقارات,ارض زراعية,5379000.0
2025,4,إلكتروني,1,1,عسير,طريب,عقارات,سكني,68000.0
2025,4,إلكتروني,1,1,الرياض,عفيف,عقارات,أخرى,163000.0
2025,4,إلكتروني,3,5,المنطقة الشرقية,الخبر,عقارات,سكني,10265000.0
2025,4,إلكتروني,5,7,جيزان,صامطة,عقارات,سكني,2261500.0
2025,4,إلكتروني,1,1,الرياض,الغاط,عقارات,أخرى,129500.0
2025,4,إلكتروني,1,1,القصيم,الاسياح,عقارات,غير محدد,55500.0
2025,4,إلكتروني,1,1,الرياض,الزلفي,عقارات,سكني,200000.0
2025,4,إلكتروني,2,2,الرياض,الخرج,عقارات,سكني,604000.0
2025,4,إلكتروني,1,4,الجوف,دومة الجندل,عقارات,غير محدد,222500.0
