السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,3,إلكتروني,2,6,مكة المكرمة,جده,عقارات,غير محدد,46240000.0
2025,3,إلكتروني,1,1,جيزان,فاراسان,عقارات,غير محدد,459000.0
2025,3,إلكتروني,1,1,جيزان,بيش,عقارات,ارض زراعية,1320000.0
2025,3,إلكتروني,1,2,الباحة,بلجرشي,عقارات,غير محدد,849000.0
2025,3,إلكتروني,1,1,مكة المكرمة,خليص,عقارات,سكني,660000.0
2025,3,إلكتروني,2,2,جيزان,صبياء,عقارات,ارض زراعية,2412000.0
2025,3,إلكتروني,4,4,المنطقة الشرقية,القطيف,عقارات,غير محدد,2802000.0
2025,3,إلكتروني,1,1,المنطقة الشرقية,الخفجي,عقارات,سكني,330000.0
2025,3,إلكتروني,2,2,الرياض,وادي الدواسر,عقارات,ارض زراعية,6700000.0
2025,3,إلكتروني,2,3,المنطقة الشرقية,الخبر,عقارات,سكني,3335000.0
2025,3,إلكتروني,2,4,الرياض,الرياض,عقارات,ارض زراعية,5860000.0
2025,3,إلكتروني,2,2,نجران,نجران,عقارات,سكني,1260000.0
2025,3,إلكتروني,1,1,مكة المكرمة,الجموم,عقارات,سكني,6020000.0
2025,3,إلكتروني,1,1,الرياض,ساجر,عقارات,ارض زراعية,1050000.0
2025,3,إلكتروني,3,5,حائل,حائل,عقارات,غير محدد,6967000.0
2025,3,إلكتروني,5,7,الرياض,الخرج,عقارات,سكني,2563000.0
2025,3,إلكتروني,1,1,حائل,الشملي,عقارات,أخرى,65000.0
2025,3,إلكتروني,1,1,القصيم,الاسياح,عقارات,سكني,168000.0
2025,3,إلكتروني,3,4,الرياض,ريمة,عقارات,سكني,1134000.0
2025,3,إلكتروني,2,3,الرياض,الدرعيه,عقارات,ارض زراعية,14660000.0
2025,3,إلكتروني,1,1,حائل,حائل,عقارات,ارض زراعية,1830000.0
2025,3,إلكتروني,1,1,القصيم,البكيريه,عقارات,أخرى,42000.0
2025,3,إلكتروني,1,1,عسير,خميس مشيط,عقارات,ارض زراعية,1210000.0
2025,3,إلكتروني,1,2,الرياض,عفيف,عقارات,أخرى,1340000.0
2025,3,إلكتروني,2,2,المدينة المنورة,وادي الفرع,عقارات,سكني,168000.0
2025,3,إلكتروني,1,1,المدينة المنورة,المهد,عقارات,ارض زراعية,470000.0
2025,3,إلكتروني,1,1,الرياض,الخرج,عقارات,غير محدد,7750000.0
2025,3,إلكتروني,1,1,جيزان,أحد المسارحة,عقارات,غير محدد,420000.0
2025,3,إلكتروني,1,1,الرياض,جلاجل,عقارات,أخرى,185000.0
2025,3,إلكتروني,3,4,جيزان,صامطة,عقارات,غير محدد,2455000.0
2025,3,إلكتروني,1,1,الباحة,القرى,عقارات,سكني,280500.0
2025,3,إلكتروني,1,1,القصيم,المذنب,عقارات,غير محدد,66000.0
2025,3,إلكتروني,3,5,عسير,احد رفيده,عقارات,سكني,3363000.0
2025,3,إلكتروني,1,1,جيزان,أحد المسارحة,عقارات,سكني,320000.0
2025,3,إلكتروني,1,1,تبوك,تبوك,عقارات,غير محدد,116000.0
2025,3,إلكتروني,1,1,المنطقة الشرقية,مليجه,عقارات,غير محدد,43000.0
2025,3,إلكتروني,1,1,الرياض,ساجر,عقارات,سكني,220000.0
2025,3,إلكتروني,1,1,حائل,الروضة,عقارات,ارض زراعية,291000.0
2025,3,إلكتروني,1,1,القصيم,البدائع,عقارات,سكني,73000.0
2025,3,إلكتروني,1,2,القصيم,القواره,عقارات,ارض زراعية,220000.0
2025,3,إلكتروني,1,1,المنطقة الشرقية,الدمام,عقارات,أخرى,6210000.0
2025,3,إلكتروني,1,2,المدينة المنورة,بدر,عقارات,سكني,237500.0
2025,3,إلكتروني,1,1,مكة المكرمة,الخرمة,عقارات,أخرى,170000.0
2025,3,إلكتروني,1,1,الجوف,دومة الجندل,عقارات,سكني,600000.0
2025,3,إلكتروني,1,1,الرياض,ثادق,عقارات,ارض زراعية,2300000.0
2025,3,إلكتروني,1,1,الرياض,القويعيه,عقارات,غير محدد,102000.0
2025,3,إلكتروني,1,1,الرياض,الحريق,عقارات,سكني,810000.0
2025,3,إلكتروني,1,1,القصيم,عيون الجواء,عقارات,ارض زراعية,310000.0
